name,targetType,isActive,data,description
"Lead Auto-Assignment & Welcome SMS",Lead,1,"{""list"":[{""type"":""eventStartConditional"",""center"":{""x"":60,""y"":120},""triggerType"":""afterRecordCreated"",""isInterrupting"":false,""id"":""start001"",""text"":""New Lead Created"",""conditionsAll"":[{""comparison"":""equals"",""subjectType"":""value"",""fieldToCompare"":""status"",""value"":""New"",""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""},{""type"":""task"",""center"":{""x"":160,""y"":120},""id"":""task001"",""text"":""Apply Assignment Rule"",""actionList"":[{""id"":""action001"",""type"":""applyAssignmentRule"",""targetTeamId"":""""}]},{""startId"":""start001"",""endId"":""task001"",""startDirection"":""r"",""id"":""flow001"",""type"":""flow""},{""type"":""taskSendMessage"",""center"":{""x"":280,""y"":120},""doNotStore"":false,""from"":""system"",""to"":""targetEntity"",""messageType"":""Sms"",""id"":""sms001"",""text"":""Send Welcome SMS"",""smsTemplateName"":null},{""startId"":""task001"",""endId"":""sms001"",""startDirection"":""r"",""id"":""flow002"",""type"":""flow""},{""type"":""task"",""center"":{""x"":400,""y"":120},""id"":""task002"",""text"":""Create Follow-up Task"",""actionList"":[{""link"":""Task"",""fieldList"":[""name"",""dateStart""],""fields"":{""name"":{""subjectType"":""value"",""attributes"":{""name"":""Follow up with lead""}},""dateStart"":{""subjectType"":""today"",""shiftDays"":""1""}},""id"":""action002"",""linkList"":[""parent"",""assignedUser""],""entityType"":""Task"",""type"":""createEntity""}]},{""startId"":""sms001"",""endId"":""task002"",""startDirection"":""r"",""id"":""flow003"",""type"":""flow""},{""type"":""eventEnd"",""center"":{""x"":500,""y"":120},""id"":""end001""},{""startId"":""task002"",""endId"":""end001"",""startDirection"":""r"",""id"":""flow004"",""type"":""flow""}],""createdEntitiesData"":{""sms001"":{""elementId"":""sms001"",""entityType"":""Sms"",""numberId"":0},""task002_action002"":{""elementId"":""task002"",""actionId"":""action002"",""entityType"":""Task"",""numberId"":0}}}","Automatically assigns new leads to team members using assignment rules and sends welcome SMS to customer. Creates follow-up task for assigned user."
"Lead 24-Hour Escalation",Lead,1,"{""list"":[{""type"":""eventStartConditional"",""center"":{""x"":60,""y"":120},""triggerType"":""afterRecordCreated"",""id"":""start002"",""text"":""Lead Created"",""conditionsAll"":[],""conditionsAny"":[],""conditionsFormula"":""""},{""type"":""eventIntermediateTimerCatch"",""center"":{""x"":160,""y"":120},""timerShift"":24,""timerShiftUnits"":""hours"",""timerShiftOperator"":""plus"",""id"":""timer001"",""text"":""Wait 24 hours""},{""startId"":""start002"",""endId"":""timer001"",""startDirection"":""r"",""id"":""flow005"",""type"":""flow""},{""type"":""gatewayExclusive"",""center"":{""x"":280,""y"":120},""id"":""gateway001"",""defaultFlowId"":""flow007"",""flowList"":[{""id"":""flow006"",""conditionsAll"":[{""comparison"":""notEquals"",""subjectType"":""value"",""fieldToCompare"":""status"",""value"":""New"",""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""}]},{""startId"":""timer001"",""endId"":""gateway001"",""startDirection"":""r"",""id"":""flow008"",""type"":""flow""},{""type"":""eventEnd"",""center"":{""x"":380,""y"":80},""id"":""end002""},{""startId"":""gateway001"",""endId"":""end002"",""startDirection"":""u"",""id"":""flow006"",""type"":""flow"",""text"":""contacted""},{""type"":""task"",""center"":{""x"":400,""y"":160},""id"":""task003"",""text"":""Escalate to Manager"",""actionList"":[{""recipient"":""link:assignedUser.defaultTeam.teamLead"",""messageTemplate"":""Lead {entity} not contacted in 24 hours"",""id"":""action003"",""type"":""createNotification""}]},{""startId"":""gateway001"",""endId"":""task003"",""startDirection"":""d"",""id"":""flow007"",""type"":""flow"",""isDefault"":true,""text"":""still new""},{""type"":""eventEnd"",""center"":{""x"":500,""y"":160},""id"":""end003""},{""startId"":""task003"",""endId"":""end003"",""startDirection"":""r"",""id"":""flow009"",""type"":""flow""}],""createdEntitiesData"":{}}","Monitors new leads and escalates to manager if not contacted within 24 hours. Helps ensure timely follow-up on all incoming leads."
"FOIR & DTI Calculation",Lead,1,"{""list"":[{""type"":""eventStartConditional"",""center"":{""x"":60,""y"":120},""triggerType"":""afterRecordSaved"",""id"":""start003"",""text"":""Income/Obligations Updated"",""conditionsAll"":[],""conditionsAny"":[{""comparison"":""wasChanged"",""fieldToCompare"":""monthlyIncome"",""type"":""any""},{""comparison"":""wasChanged"",""fieldToCompare"":""monthlyObligations"",""type"":""any""}],""conditionsFormula"":""""},{""type"":""task"",""center"":{""x"":200,""y"":120},""id"":""task004"",""text"":""Calculate FOIR & DTI"",""actionList"":[{""fieldList"":[""foir"",""dti""],""fields"":{},""id"":""action004"",""formula"":""$foir = monthlyObligations / monthlyIncome * 100; $dti = loanAmountRequested / (monthlyIncome * 12);"",""type"":""updateEntity""}]},{""startId"":""start003"",""endId"":""task004"",""startDirection"":""r"",""id"":""flow010"",""type"":""flow""},{""type"":""gatewayExclusive"",""center"":{""x"":340,""y"":120},""id"":""gateway002"",""defaultFlowId"":""flow012"",""flowList"":[{""id"":""flow011"",""conditionsAll"":[{""comparison"":""greaterThan"",""subjectType"":""value"",""fieldToCompare"":""foir"",""value"":50,""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""}]},{""startId"":""task004"",""endId"":""gateway002"",""startDirection"":""r"",""id"":""flow013"",""type"":""flow""},{""type"":""task"",""center"":{""x"":460,""y"":80},""id"":""task005"",""text"":""Update Status to Not Qualified"",""actionList"":[{""fieldList"":[""eligibilityStatus""],""fields"":{""eligibilityStatus"":{""subjectType"":""value"",""attributes"":{""eligibilityStatus"":""Not Qualified""}}},""id"":""action005"",""type"":""updateEntity""}]},{""startId"":""gateway002"",""endId"":""task005"",""startDirection"":""u"",""id"":""flow011"",""type"":""flow"",""text"":""FOIR > 50%""},{""type"":""eventEnd"",""center"":{""x"":560,""y"":80},""id"":""end004""},{""startId"":""task005"",""endId"":""end004"",""startDirection"":""r"",""id"":""flow014"",""type"":""flow""},{""type"":""eventEnd"",""center"":{""x"":440,""y"":160},""id"":""end005""},{""startId"":""gateway002"",""endId"":""end005"",""startDirection"":""d"",""id"":""flow012"",""type"":""flow"",""isDefault"":true,""text"":""FOIR OK""}],""createdEntitiesData"":{}}","Automatically calculates FOIR (Fixed Obligation to Income Ratio) and DTI when financial information is updated. Marks leads as Not Qualified if FOIR exceeds 50%."
"Lead Score Calculation",Lead,1,"{""list"":[{""type"":""eventStartConditional"",""center"":{""x"":60,""y"":120},""triggerType"":""afterRecordSaved"",""id"":""start004"",""text"":""Lead Data Changed""},{""type"":""task"",""center"":{""x"":180,""y"":120},""id"":""task006"",""text"":""Calculate Lead Score"",""actionList"":[{""fieldList"":[""leadScore""],""id"":""action006"",""formula"":""$score = 0; $score = $score + ifThenElse(monthlyIncome >= 100000, 25, ifThenElse(monthlyIncome >= 75000, 15, 5)); $score = $score + ifThenElse(employmentType == 'Salaried', 20, 10); $score = $score + ifThenElse(dataConsentGiven, 15, 0); $score = $score + ifThenElse(creditBureauConsentGiven, 10, 0); $score = $score + ifThenElse(kycStatus == 'Completed', 20, 0); $score = $score + ifThenElse(loanAmountRequested >= 500000, 10, 5); entity\\setAttribute('leadScore', $score);"",""type"":""updateEntity""}]},{""startId"":""start004"",""endId"":""task006"",""startDirection"":""r"",""id"":""flow015"",""type"":""flow""},{""type"":""gatewayExclusive"",""center"":{""x"":300,""y"":120},""id"":""gateway003"",""defaultFlowId"":""flow017"",""flowList"":[{""id"":""flow016"",""conditionsAll"":[{""comparison"":""greaterThan"",""subjectType"":""value"",""fieldToCompare"":""leadScore"",""value"":70,""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""}]},{""startId"":""task006"",""endId"":""gateway003"",""startDirection"":""r"",""id"":""flow018"",""type"":""flow""},{""type"":""task"",""center"":{""x"":420,""y"":80},""id"":""task007"",""text"":""Set Hot Lead"",""actionList"":[{""fieldList"":[""leadTemperature""],""fields"":{""leadTemperature"":{""subjectType"":""value"",""attributes"":{""leadTemperature"":""Hot""}}},""id"":""action007"",""type"":""updateEntity""}]},{""startId"":""gateway003"",""endId"":""task007"",""startDirection"":""u"",""id"":""flow016"",""type"":""flow"",""text"":""score > 70""},{""type"":""eventEnd"",""center"":{""x"":520,""y"":80},""id"":""end006""},{""startId"":""task007"",""endId"":""end006"",""startDirection"":""r"",""id"":""flow019"",""type"":""flow""},{""type"":""eventEnd"",""center"":{""x"":400,""y"":160},""id"":""end007""},{""startId"":""gateway003"",""endId"":""end007"",""startDirection"":""d"",""id"":""flow017"",""type"":""flow"",""isDefault"":true}],""createdEntitiesData"":{}}","Calculates lead score based on income, employment type, consent status, KYC completion, and loan amount. Automatically marks high-scoring leads (>70) as Hot."
"Document Request Automation",Lead,1,"{""list"":[{""type"":""eventStartConditional"",""center"":{""x"":60,""y"":120},""triggerType"":""afterRecordSaved"",""id"":""start005"",""text"":""Status = Document Collection"",""conditionsAll"":[{""comparison"":""equals"",""subjectType"":""value"",""fieldToCompare"":""status"",""value"":""Document Collection"",""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""},{""type"":""taskSendMessage"",""center"":{""x"":200,""y"":120},""doNotStore"":false,""from"":""system"",""to"":""targetEntity"",""messageType"":""Email"",""id"":""email001"",""text"":""Send Document Checklist Email"",""emailTemplateName"":""Document Checklist Template""},{""startId"":""start005"",""endId"":""email001"",""startDirection"":""r"",""id"":""flow020"",""type"":""flow""},{""type"":""taskSendMessage"",""center"":{""x"":340,""y"":120},""doNotStore"":false,""from"":""system"",""to"":""targetEntity"",""messageType"":""Sms"",""id"":""sms002"",""text"":""Send SMS Reminder""},{""startId"":""email001"",""endId"":""sms002"",""startDirection"":""r"",""id"":""flow021"",""type"":""flow""},{""type"":""eventIntermediateTimerCatch"",""center"":{""x"":460,""y"":120},""timerShift"":3,""timerShiftUnits"":""days"",""timerShiftOperator"":""plus"",""id"":""timer002"",""text"":""Wait 3 days""},{""startId"":""sms002"",""endId"":""timer002"",""startDirection"":""r"",""id"":""flow022"",""type"":""flow""},{""type"":""gatewayExclusive"",""center"":{""x"":580,""y"":120},""id"":""gateway004"",""defaultFlowId"":""flow024"",""flowList"":[{""id"":""flow023"",""conditionsAll"":[{""comparison"":""equals"",""subjectType"":""value"",""fieldToCompare"":""documentChecklistComplete"",""value"":true,""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""}]},{""startId"":""timer002"",""endId"":""gateway004"",""startDirection"":""r"",""id"":""flow025"",""type"":""flow""},{""type"":""eventEnd"",""center"":{""x"":680,""y"":80},""id"":""end008""},{""startId"":""gateway004"",""endId"":""end008"",""startDirection"":""u"",""id"":""flow023"",""type"":""flow"",""text"":""complete""},{""type"":""taskSendMessage"",""center"":{""x"":700,""y"":160},""doNotStore"":false,""from"":""system"",""to"":""targetEntity"",""messageType"":""Sms"",""id"":""sms003"",""text"":""Send Follow-up SMS""},{""startId"":""gateway004"",""endId"":""sms003"",""startDirection"":""d"",""id"":""flow024"",""type"":""flow"",""isDefault"":true,""text"":""pending""},{""type"":""eventEnd"",""center"":{""x"":800,""y"":160},""id"":""end009""},{""startId"":""sms003"",""endId"":""end009"",""startDirection"":""r"",""id"":""flow026"",""type"":""flow""}],""createdEntitiesData"":{""email001"":{""elementId"":""email001"",""entityType"":""Email"",""numberId"":0},""sms002"":{""elementId"":""sms002"",""entityType"":""Sms"",""numberId"":1},""sms003"":{""elementId"":""sms003"",""entityType"":""Sms"",""numberId"":2}}}","Sends document checklist via email and SMS when lead moves to Document Collection stage. Automatically follows up after 3 days if documents not completed."
"Credit Check Trigger",Lead,1,"{""list"":[{""type"":""eventStartConditional"",""center"":{""x"":60,""y"":120},""triggerType"":""afterRecordSaved"",""id"":""start006"",""text"":""Status = Credit Check"",""conditionsAll"":[{""comparison"":""equals"",""subjectType"":""value"",""fieldToCompare"":""status"",""value"":""Credit Check"",""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""},{""type"":""gatewayExclusive"",""center"":{""x"":180,""y"":120},""id"":""gateway005"",""defaultFlowId"":""flow028"",""flowList"":[{""id"":""flow027"",""conditionsAll"":[{""comparison"":""equals"",""subjectType"":""value"",""fieldToCompare"":""creditBureauConsentGiven"",""value"":true,""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""}]},{""startId"":""start006"",""endId"":""gateway005"",""startDirection"":""r"",""id"":""flow029"",""type"":""flow""},{""type"":""task"",""center"":{""x"":300,""y"":80},""id"":""task008"",""text"":""Call CRIB API"",""actionList"":[{""fieldList"":[""creditBureauStatus""],""fields"":{""creditBureauStatus"":{""subjectType"":""value"",""attributes"":{""creditBureauStatus"":""Requested""}}},""id"":""action008"",""type"":""updateEntity""}]},{""startId"":""gateway005"",""endId"":""task008"",""startDirection"":""u"",""id"":""flow027"",""type"":""flow"",""text"":""consent given""},{""type"":""task"",""center"":{""x"":420,""y"":80},""id"":""task009"",""text"":""Create Credit Report Task"",""actionList"":[{""link"":""Task"",""fieldList"":[""name""],""fields"":{""name"":{""subjectType"":""value"",""attributes"":{""name"":""Review CRIB report""}}},""id"":""action009"",""linkList"":[""parent"",""assignedUser""],""entityType"":""Task"",""type"":""createEntity""}]},{""startId"":""task008"",""endId"":""task009"",""startDirection"":""r"",""id"":""flow030"",""type"":""flow""},{""type"":""eventEnd"",""center"":{""x"":520,""y"":80},""id"":""end010""},{""startId"":""task009"",""endId"":""end010"",""startDirection"":""r"",""id"":""flow031"",""type"":""flow""},{""type"":""task"",""center"":{""x"":300,""y"":160},""id"":""task010"",""text"":""Request Consent"",""actionList"":[{""recipient"":""link:assignedUser"",""messageTemplate"":""Lead {entity} needs credit bureau consent"",""id"":""action010"",""type"":""createNotification""}]},{""startId"":""gateway005"",""endId"":""task010"",""startDirection"":""d"",""id"":""flow028"",""type"":""flow"",""isDefault"":true,""text"":""no consent""},{""type"":""eventEnd"",""center"":{""x"":400,""y"":160},""id"":""end011""},{""startId"":""task010"",""endId"":""end011"",""startDirection"":""r"",""id"":""flow032"",""type"":""flow""}],""createdEntitiesData"":{""task009_action009"":{""elementId"":""task009"",""actionId"":""action009"",""entityType"":""Task"",""numberId"":0}}}","Initiates CRIB credit check when lead status changes to Credit Check. Verifies consent first, then calls API and creates review task for credit officer."
"Qualified Lead Conversion",Lead,1,"{""list"":[{""type"":""eventStartConditional"",""center"":{""x"":60,""y"":120},""triggerType"":""afterRecordSaved"",""id"":""start007"",""text"":""Status = Qualified"",""conditionsAll"":[{""comparison"":""equals"",""subjectType"":""value"",""fieldToCompare"":""status"",""value"":""Qualified"",""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""},{""type"":""taskSendMessage"",""center"":{""x"":180,""y"":120},""doNotStore"":false,""from"":""system"",""to"":""targetEntity"",""messageType"":""Email"",""id"":""email002"",""text"":""Send Congratulations Email"",""emailTemplateName"":""Loan Pre-Approval Email""},{""startId"":""start007"",""endId"":""email002"",""startDirection"":""r"",""id"":""flow033"",""type"":""flow""},{""type"":""task"",""center"":{""x"":300,""y"":120},""id"":""task011"",""text"":""Create Opportunity"",""actionList"":[{""link"":""Opportunity"",""fieldList"":[""name"",""amount"",""stage""],""fields"":{""name"":{""subjectType"":""formula"",""formula"":""string\\concat(primaryProductInterest, ' - ', firstName, ' ', lastName)""},""amount"":{""subjectType"":""field"",""field"":""loanAmountRequested""},""stage"":{""subjectType"":""value"",""attributes"":{""stage"":""Application Submitted""}}},""id"":""action011"",""linkList"":[""contacts""],""entityType"":""Opportunity"",""type"":""createEntity""}]},{""startId"":""email002"",""endId"":""task011"",""startDirection"":""r"",""id"":""flow034"",""type"":""flow""},{""type"":""task"",""center"":{""x"":420,""y"":120},""id"":""task012"",""text"":""Notify Relationship Manager"",""actionList"":[{""recipient"":""link:assignedUser"",""messageTemplate"":""Lead {entity} qualified - Opportunity created"",""id"":""action012"",""type"":""createNotification""}]},{""startId"":""task011"",""endId"":""task012"",""startDirection"":""r"",""id"":""flow035"",""type"":""flow""},{""type"":""eventEnd"",""center"":{""x"":540,""y"":120},""id"":""end012""},{""startId"":""task012"",""endId"":""end012"",""startDirection"":""r"",""id"":""flow036"",""type"":""flow""}],""createdEntitiesData"":{""email002"":{""elementId"":""email002"",""entityType"":""Email"",""numberId"":0},""task011_action011"":{""elementId"":""task011"",""actionId"":""action011"",""entityType"":""Opportunity"",""numberId"":0}}}","Automatically converts qualified leads to opportunities. Sends congratulatory email to customer and notifies relationship manager about the new opportunity."
"Lost Lead Re-engagement",Lead,1,"{""list"":[{""type"":""eventStartConditional"",""center"":{""x"":60,""y"":120},""triggerType"":""afterRecordSaved"",""id"":""start008"",""text"":""Status = Lost"",""conditionsAll"":[{""comparison"":""equals"",""subjectType"":""value"",""fieldToCompare"":""status"",""value"":""Lost"",""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""},{""type"":""task"",""center"":{""x"":180,""y"":120},""id"":""task013"",""text"":""Update Lost Date"",""actionList"":[{""fieldList"":[""lostDate""],""id"":""action013"",""formula"":""$lostDate = datetime\\today();"",""type"":""updateEntity""}]},{""startId"":""start008"",""endId"":""task013"",""startDirection"":""r"",""id"":""flow037"",""type"":""flow""},{""type"":""eventIntermediateTimerCatch"",""center"":{""x"":300,""y"":120},""timerShift"":30,""timerShiftUnits"":""days"",""timerShiftOperator"":""plus"",""id"":""timer003"",""text"":""Wait 30 days""},{""startId"":""task013"",""endId"":""timer003"",""startDirection"":""r"",""id"":""flow038"",""type"":""flow""},{""type"":""gatewayExclusive"",""center"":{""x"":420,""y"":120},""id"":""gateway006"",""defaultFlowId"":""flow040"",""flowList"":[{""id"":""flow039"",""conditionsAll"":[{""comparison"":""in"",""subjectType"":""value"",""fieldToCompare"":""lossReason"",""value"":[""Competitor Offer"",""High Interest Rate""],""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""}]},{""startId"":""timer003"",""endId"":""gateway006"",""startDirection"":""r"",""id"":""flow041"",""type"":""flow""},{""type"":""taskSendMessage"",""center"":{""x"":540,""y"":80},""doNotStore"":false,""from"":""system"",""to"":""targetEntity"",""messageType"":""Email"",""id"":""email003"",""text"":""Send Re-engagement Email"",""emailTemplateName"":""Win-back Campaign""},{""startId"":""gateway006"",""endId"":""email003"",""startDirection"":""u"",""id"":""flow039"",""type"":""flow"",""text"":""re-engageable""},{""type"":""task"",""center"":{""x"":660,""y"":80},""id"":""task014"",""text"":""Update to Nurturing"",""actionList"":[{""fieldList"":[""status""],""fields"":{""status"":{""subjectType"":""value"",""attributes"":{""status"":""Nurturing""}}},""id"":""action014"",""type"":""updateEntity""}]},{""startId"":""email003"",""endId"":""task014"",""startDirection"":""r"",""id"":""flow042"",""type"":""flow""},{""type"":""eventEnd"",""center"":{""x"":760,""y"":80},""id"":""end013""},{""startId"":""task014"",""endId"":""end013"",""startDirection"":""r"",""id"":""flow043"",""type"":""flow""},{""type"":""eventEnd"",""center"":{""x"":520,""y"":160},""id"":""end014""},{""startId"":""gateway006"",""endId"":""end014"",""startDirection"":""d"",""id"":""flow040"",""type"":""flow"",""isDefault"":true,""text"":""other reasons""}],""createdEntitiesData"":{""email003"":{""elementId"":""email003"",""entityType"":""Email"",""numberId"":0}}}","Automatically re-engages lost leads after 30 days if they were lost due to competitor offer or high interest rate. Sends win-back campaign email and moves to Nurturing status."
"Opportunity Approval Workflow",Opportunity,1,"{""list"":[{""type"":""eventStartConditional"",""center"":{""x"":60,""y"":160},""triggerType"":""afterRecordSaved"",""id"":""start009"",""text"":""Stage = Credit Assessment"",""conditionsAll"":[{""comparison"":""equals"",""subjectType"":""value"",""fieldToCompare"":""stage"",""value"":""Credit Assessment"",""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""},{""type"":""gatewayExclusive"",""center"":{""x"":180,""y"":160},""id"":""gateway007"",""defaultFlowId"":""flow045"",""flowList"":[{""id"":""flow044"",""conditionsAll"":[{""comparison"":""greaterThan"",""subjectType"":""value"",""fieldToCompare"":""amount"",""value"":5000000,""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""}]},{""startId"":""start009"",""endId"":""gateway007"",""startDirection"":""r"",""id"":""flow046"",""type"":""flow""},{""type"":""taskUser"",""center"":{""x"":300,""y"":100},""actionType"":""Approve"",""assignmentType"":""specifiedUser"",""name"":""Senior Manager Approval Required"",""target"":"""",""id"":""usertask001"",""text"":""Senior Management Approval""},{""startId"":""gateway007"",""endId"":""usertask001"",""startDirection"":""u"",""id"":""flow044"",""type"":""flow"",""text"":""amount > 5M""},{""type"":""taskUser"",""center"":{""x"":300,""y"":220},""actionType"":""Approve"",""assignmentType"":""specifiedUser"",""name"":""Branch Manager Approval Required"",""target"":"""",""id"":""usertask002"",""text"":""Branch Manager Approval""},{""startId"":""gateway007"",""endId"":""usertask002"",""startDirection"":""d"",""id"":""flow045"",""type"":""flow"",""isDefault"":true,""text"":""amount <= 5M""},{""type"":""gatewayExclusive"",""center"":{""x"":420,""y"":160},""id"":""gateway008""},{""startId"":""usertask001"",""endId"":""gateway008"",""startDirection"":""d"",""id"":""flow047"",""type"":""flow""},{""startId"":""usertask002"",""endId"":""gateway008"",""startDirection"":""u"",""id"":""flow048"",""type"":""flow""},{""type"":""task"",""center"":{""x"":540,""y"":100},""id"":""task015"",""text"":""Update to Approved"",""actionList"":[{""fieldList"":[""stage""],""fields"":{""stage"":{""subjectType"":""value"",""attributes"":{""stage"":""Approved""}}},""id"":""action015"",""type"":""updateEntity""}]},{""type"":""task"",""center"":{""x"":540,""y"":220},""id"":""task016"",""text"":""Update to Rejected"",""actionList"":[{""fieldList"":[""stage""],""fields"":{""stage"":{""subjectType"":""value"",""attributes"":{""stage"":""Rejected""}}},""id"":""action016"",""type"":""updateEntity""}]},{""startId"":""gateway008"",""endId"":""task015"",""startDirection"":""u"",""id"":""flow049"",""type"":""flow"",""text"":""approved""},{""startId"":""gateway008"",""endId"":""task016"",""startDirection"":""d"",""id"":""flow050"",""type"":""flow"",""text"":""rejected""},{""type"":""eventEnd"",""center"":{""x"":640,""y"":100},""id"":""end015""},{""type"":""eventEnd"",""center"":{""x"":640,""y"":220},""id"":""end016""},{""startId"":""task015"",""endId"":""end015"",""startDirection"":""r"",""id"":""flow051"",""type"":""flow""},{""startId"":""task016"",""endId"":""end016"",""startDirection"":""r"",""id"":""flow052"",""type"":""flow""}],""createdEntitiesData"":{""usertask001"":{""elementId"":""usertask001"",""entityType"":""BpmnUserTask"",""numberId"":0},""usertask002"":{""elementId"":""usertask002"",""entityType"":""BpmnUserTask"",""numberId"":1}}}","Multi-level approval workflow for loan opportunities. Amounts over 5M LKR require senior management approval, while smaller amounts go to branch manager. Updates opportunity stage based on approval decision."
"Disbursement Notification",Opportunity,1,"{""list"":[{""type"":""eventStartConditional"",""center"":{""x"":60,""y"":120},""triggerType"":""afterRecordSaved"",""id"":""start010"",""text"":""Stage = Disbursed"",""conditionsAll"":[{""comparison"":""equals"",""subjectType"":""value"",""fieldToCompare"":""stage"",""value"":""Disbursed"",""type"":""all""}],""conditionsAny"":[],""conditionsFormula"":""""},{""type"":""taskSendMessage"",""center"":{""x"":180,""y"":120},""doNotStore"":false,""from"":""system"",""to"":""targetEntity"",""messageType"":""Email"",""id"":""email004"",""text"":""Send Loan Agreement"",""emailTemplateName"":""Loan Disbursement Email""},{""startId"":""start010"",""endId"":""email004"",""startDirection"":""r"",""id"":""flow053"",""type"":""flow""},{""type"":""taskSendMessage"",""center"":{""x"":300,""y"":120},""doNotStore"":false,""from"":""system"",""to"":""targetEntity"",""messageType"":""Sms"",""id"":""sms004"",""text"":""Send SMS Confirmation""},{""startId"":""email004"",""endId"":""sms004"",""startDirection"":""r"",""id"":""flow054"",""type"":""flow""},{""type"":""task"",""center"":{""x"":420,""y"":120},""id"":""task017"",""text"":""Create Loan Account"",""actionList"":[{""link"":""Account"",""fieldList"":[""name"",""type""],""fields"":{""name"":{""subjectType"":""field"",""field"":""name""},""type"":{""subjectType"":""value"",""attributes"":{""type"":""Loan Account""}}},""id"":""action017"",""linkList"":[""opportunity""],""entityType"":""Account"",""type"":""createEntity""}]},{""startId"":""sms004"",""endId"":""task017"",""startDirection"":""r"",""id"":""flow055"",""type"":""flow""},{""type"":""task"",""center"":{""x"":540,""y"":120},""id"":""task018"",""text"":""Schedule First EMI Reminder"",""actionList"":[{""link"":""Task"",""fieldList"":[""name"",""dateStart""],""fields"":{""name"":{""subjectType"":""value"",""attributes"":{""name"":""First EMI payment reminder""}},""dateStart"":{""subjectType"":""today"",""shiftDays"":""25""}},""id"":""action018"",""linkList"":[""parent""],""entityType"":""Task"",""type"":""createEntity""}]},{""startId"":""task017"",""endId"":""task018"",""startDirection"":""r"",""id"":""flow056"",""type"":""flow""},{""type"":""eventEnd"",""center"":{""x"":640,""y"":120},""id"":""end017""},{""startId"":""task018"",""endId"":""end017"",""startDirection"":""r"",""id"":""flow057"",""type"":""flow""}],""createdEntitiesData"":{""email004"":{""elementId"":""email004"",""entityType"":""Email"",""numberId"":0},""sms004"":{""elementId"":""sms004"",""entityType"":""Sms"",""numberId"":1},""task017_action017"":{""elementId"":""task017"",""actionId"":""action017"",""entityType"":""Account"",""numberId"":0},""task018_action018"":{""elementId"":""task018"",""actionId"":""action018"",""entityType"":""Task"",""numberId"":1}}}","Handles post-disbursement workflow. Sends loan agreement via email and SMS confirmation to customer, creates loan account record, and schedules first EMI payment reminder for 25 days later."
